,0,1,2
126,"'EL NUEVO PORTAL II, 002620 (127)'",4.491640114285713,-74.10120457142857
127,"'LA FRAGUITA, 002101 (128)'",4.594587597087378,-74.09907547572816
128,"'SAN ANTONIO URBANO, 005660 (129)'",4.703005,-74.13143353846154
129,"'FLORENCIA, 005620 (130)'",4.70013908,-74.10778636
130,"'BOSQUE POPULAR, 005505 (131)'",4.670618488888889,-74.09487655555556
131,"'MANDALAY, 004531 (132)'",4.628580472222222,-74.14463375
132,"'BELLA FLOR SUR RURAL, 104107 (133)'",4.539789289256198,-74.16149351239669
133,"'NORMANDIA, 005507 (134)'",4.670199800000001,-74.10475846666667
134,"'LA CABRERA, 008309 (135)'",4.669014541666667,-74.049747125
135,"'EL BAGAZAL, 101101 (136)'",4.653393847740667,-74.0367677416503
136,"'EL REFUGIO, 006419 (137)'",4.690561547169811,-74.15087711320756
137,"'MUEQUETA, 007307 (138)'",4.653364142857143,-74.07093064285714
138,"'INTERINDUSTRIAL, 006527 (139)'",4.6505118281249995,-74.131532875
139,"'SANTA ROSA, 104112 (140)'",4.398344154848046,-74.1610674732272
140,"'LAS MERCEDES, 104108 (141)'",4.403438922774869,-74.18632801243456
141,"'LA REGADERA, 102808 (142)'",4.387505465832532,-74.11918510611164
142,"'SANTA BARBARA, 104113 (143)'",4.40023117948718,-74.14865757525084
143,"'EL HATO, 102112 (144)'",4.376832518234165,-74.16744124280231
144,"'SAN BENITO, 102909 (145)'",4.359348624759615,-74.11436991754807
145,"'ARRAYAN, 102910 (146)'",4.337826522288756,-74.1286720166334
146,"'LAS FERIAS, 005404 (147)'",4.682802340909091,-74.08505831818182
147,"'CHICO NORTE III SECTOR, 008315 (148)'",4.683803677083334,-74.05262751041668
148,"'LOS NARANJOS, 009201 (149)'",4.726693433628318,-74.0863906902655
149,"'EL BOSQUE SUR ORIENTAL RURAL I, 102310 (150)'",4.47311778,-74.08568259124999
150,"'LA PRADERA, 004305 (151)'",4.624690181818182,-74.12145954545456
151,"'DOCE DE OCTUBRE, 005202 (152)'",4.66959784,-74.07521484
152,"'LA LIBERTAD, 005206 (153)'",4.675890079999999,-74.07668688
153,"'HOYA SAN CRISTOBAL, 101301 (154)'",4.554750004300048,-74.05343802150026
154,"'VILLA SAGRARIO, 005658 (155)'",4.704427851851851,-74.12102337037037
155,"'CHARCO RURAL, 105402 (156)'",4.702554352768826,-74.17284777615002
156,"'SABANA DE TIBABUYES, 009232 (157)'",4.749922577777777,-74.10928779999999
157,"'NUEVA GLORIA, 001320 (158)'",4.542008552631579,-74.09019675438597
158,"'EL PARAISO, 001329 (159)'",4.541170839285714,-74.09219667857143
159,"'PUENTE ARANDA, 006215 (160)'",4.632980142857143,-74.10559751428572
160,"'GRANJAS DE TECHO, 006306 (161)'",4.64148492,-74.11807372
161,"'CASABLANCA, 004537 (162)'",4.614364999999999,-74.17252016666667
162,"'TAIRONA, 004564 (163)'",4.640449315789475,-74.15818089473684
163,"'OSORIO XII, 004615 (164)'",4.643634755102041,-74.18205702040817
164,"'LAS MERCEDES SUBA, 009239 (165)'",4.758185999999999,-74.08345044444444
165,"'EL PARAISO BOSA, 004541 (166)'",4.6413114,-74.1688447
